(terminal history limit, gpt-4o is the first model ran anyways)
=== Model: gpt-4o (openai) | Question 70 ===
=== Model: llama3.1:8b-instruct-q8_0 (ollama) | Question 72 ===
Model answer: E | Incorrect ❌ (Correct: B)

=== Model: llama3.1:8b-instruct-q8_0 (ollama) | Question 73 ===
Model answer: A | Correct! ✅

=== Model: llama3.1:8b-instruct-q8_0 (ollama) | Question 74 ===
Model answer: A | Correct! ✅

=== Model: llama3.1:8b-instruct-q8_0 (ollama) | Question 75 ===
Model answer: A | Incorrect ❌ (Correct: E)

=== Model: llama3.1:8b-instruct-q8_0 (ollama) | Question 76 ===
Model answer: C | Correct! ✅

=== Model: llama3.1:8b-instruct-q8_0 (ollama) | Question 77 ===
Model answer: E | Incorrect ❌ (Correct: D)

=== Model: llama3.1:8b-instruct-q8_0 (ollama) | Question 78 ===
Model answer: C | Correct! ✅

=== Model: llama3.1:8b-instruct-q8_0 (ollama) | Question 79 ===
Model answer: D | Incorrect ❌ (Correct: A)

=== Model: llama3.1:8b-instruct-q8_0 (ollama) | Question 80 ===
Model answer: E | Correct! ✅

=== Model: llama3.1:8b-instruct-q8_0 (ollama) | Question 81 ===
Model answer: D | Correct! ✅

=== Model: llama3.1:8b-instruct-q8_0 (ollama) | Question 82 ===
Model answer: A | Incorrect ❌ (Correct: D)

=== Model: llama3.1:8b-instruct-q8_0 (ollama) | Question 83 ===
Model answer: C | Incorrect ❌ (Correct: B)

=== Model: llama3.1:8b-instruct-q8_0 (ollama) | Question 84 ===
Model answer: A | Incorrect ❌ (Correct: C)

=== Model: llama3.1:8b-instruct-q8_0 (ollama) | Question 85 ===
Model answer: C | Correct! ✅

=== Model: llama3.1:8b-instruct-q8_0 (ollama) | Question 86 ===
Model answer: E | Incorrect ❌ (Correct: A)

=== Model: llama3.1:8b-instruct-q8_0 (ollama) | Question 87 ===
Model answer: D | Correct! ✅

=== Model: llama3.1:8b-instruct-q8_0 (ollama) | Question 88 ===
Model answer: D | Incorrect ❌ (Correct: E)

=== Model: llama3.1:8b-instruct-q8_0 (ollama) | Question 89 ===
Model answer: B | Incorrect ❌ (Correct: C)

=== Model: llama3.1:8b-instruct-q8_0 (ollama) | Question 90 ===
Model answer: B | Correct! ✅

=== Model: llama3.1:8b-instruct-q8_0 (ollama) | Question 91 ===
Model answer: D | Correct! ✅

=== Model: llama3.1:8b-instruct-q8_0 (ollama) | Question 92 ===
Model answer: E | Incorrect ❌ (Correct: B)

=== Model: llama3.1:8b-instruct-q8_0 (ollama) | Question 93 ===
Model answer: C | Correct! ✅

=== Model: llama3.1:8b-instruct-q8_0 (ollama) | Question 94 ===
Model answer: A | Incorrect ❌ (Correct: D)

=== Model: llama3.1:8b-instruct-q8_0 (ollama) | Question 95 ===
Model answer: B | Incorrect ❌ (Correct: E)

=== Model: llama3.1:8b-instruct-q8_0 (ollama) | Question 96 ===
Model answer: B | Correct! ✅

=== Model: llama3.1:8b-instruct-q8_0 (ollama) | Question 97 ===
Model answer: B | Correct! ✅

=== Model: llama3.1:8b-instruct-q8_0 (ollama) | Question 98 ===
Model answer:  | Incorrect ❌ (Correct: B)

=== Model: llama3.1:8b-instruct-q8_0 (ollama) | Question 99 ===
Model answer: E | Correct! ✅

=== Model: llama3.1:8b-instruct-q8_0 (ollama) | Question 100 ===
Model answer: E | Correct! ✅

=== Model: llama3.1:8b-instruct-q8_0 (ollama) | Question 101 ===
Model answer: A | Incorrect ❌ (Correct: D)

=== Model: llama3.1:8b-instruct-q8_0 (ollama) | Question 102 ===
Model answer: A | Correct! ✅

=== Model: llama3.1:8b-instruct-q8_0 (ollama) | Question 103 ===
Model answer: E | Correct! ✅

=== Model: llama3.1:8b-instruct-q8_0 (ollama) | Question 104 ===
Model answer: E | Incorrect ❌ (Correct: A)

=== Model: llama3.1:8b-instruct-q8_0 (ollama) | Question 105 ===
Model answer: E | Correct! ✅

=== Model: llama3.1:8b-instruct-q8_0 (ollama) | Question 106 ===
Model answer: C | Correct! ✅

=== Model: llama3.1:8b-instruct-q8_0 (ollama) | Question 107 ===
Model answer: A | Incorrect ❌ (Correct: E)

=== Model: llama3.1:8b-instruct-q8_0 (ollama) | Question 108 ===
Model answer: B | Correct! ✅

=== Model: llama3.1:8b-instruct-q8_0 (ollama) | Question 109 ===
Model answer: D | Correct! ✅

=== Model: llama3.1:8b-instruct-q8_0 (ollama) | Question 110 ===
Model answer: D | Correct! ✅

=== Model: llama3.1:8b-instruct-q8_0 (ollama) | Question 111 ===
Model answer: B | Incorrect ❌ (Correct: E)

=== Model: llama3.1:8b-instruct-q8_0 (ollama) | Question 112 ===
Model answer: A | Incorrect ❌ (Correct: B)

=== Model: llama3.1:8b-instruct-q8_0 (ollama) | Question 113 ===
Model answer:  | Incorrect ❌ (Correct: F)

=== Model: llama3.1:8b-instruct-q8_0 (ollama) | Question 114 ===
Model answer: B | Incorrect ❌ (Correct: A)

=== Model: llama3.1:8b-instruct-q8_0 (ollama) | Question 115 ===
Model answer: E | Correct! ✅

=== Model: llama3.1:8b-instruct-q8_0 (ollama) | Question 116 ===
Model answer: E | Incorrect ❌ (Correct: A)

=== Model: llama3.1:8b-instruct-q8_0 (ollama) | Question 117 ===
Model answer: E | Correct! ✅

=== Model: llama3.1:8b-instruct-q8_0 (ollama) | Question 118 ===
Model answer: A | Correct! ✅

=== Model: llama3.1:8b-instruct-q8_0 (ollama) | Question 119 ===
Model answer: D | Correct! ✅

=====================================
Model: llama3.1:8b-instruct-q8_0  (engine=ollama)
Result: 60 / 119 correct
Percentage correct: 50.4%
Time taken: 00 hours 06 minutes 42 seconds
Time per Q: 3.4s
=====================================


===================== 2024 STEP-SAMPLE TEST RANKING SUMMARY =====================
Model Name                                         Engine   | %Corr  |  Corr/Total  | Time to Complete     | Time per Q
--------------------------------------------------------------------------------------------------------------
o1-preview                                         openai   |  89.9% |  107/119  | 00 hours 22 minutes 15 seconds | 11.2s
o1-mini                                            openai   |  88.2% |  105/119  | 00 hours 12 minutes 28 seconds | 6.3s
claude-3-5-sonnet-20241022                         claude   |  86.6% |  103/119  | 00 hours 11 minutes 30 seconds | 5.8s
gpt-4o                                             openai   |  84.0% |  100/119  | 00 hours 05 minutes 25 seconds | 2.7s
gpt-4o-mini                                        openai   |  77.3% |  92/119  | 00 hours 05 minutes 04 seconds | 2.6s
claude-3-opus-latest                               claude   |  73.9% |  88/119  | 00 hours 08 minutes 44 seconds | 4.4s
claude-3-5-haiku-latest                            claude   |  71.4% |  85/119  | 00 hours 14 minutes 37 seconds | 7.4s
deepseek-r1:14b-qwen-distill-q4_K_M                ollama   |  64.7% |  77/119  | 03 hours 14 minutes 29 seconds | 98.1s
llama3.1:8b-instruct-q8_0                          ollama   |  50.4% |  60/119  | 00 hours 06 minutes 42 seconds | 3.4s
openchat:7b-v3.5-1210-q8_0                         ollama   |  47.9% |  57/119  | 00 hours 04 minutes 55 seconds | 2.5s
==============================================================================================================


